model,price,description,engine_hk,mil,color,fuel,automatic,model_year,scrape_date
XC40,299000,"Pure Electric, backkamera,",407,12383,Crystal White Pearl,El,TRUE,2021,2026-05-06
XC40,324800,Pure Electric,407,11077,Crystal White Pearl,El,TRUE,2021,2026-05-06
C40,389900,Recharge Twin motor,407,4202,Thunder Grey,El,TRUE,2022,2026-05-06
XC40,289900,Pro,231,9167,Glacier Silver,El,TRUE,2022,2026-05-06
XC40,314900,Plus,231,4734,Black Stone,El,TRUE,2022,2026-05-06
C40 Recharge,329500,Intro Edition,407,9575,Silver Dawn,El,TRUE,2022,2026-05-06
XC40,349900,Core,231,6212,Glacier Silver,El,TRUE,2022,2026-05-06
XC40,299900,Plus,231,7020,Thunder Grey,El,TRUE,2022,2026-05-06
XC40,314900,Pano/ El-stol/ 360-kamera,231,5223,Thunder Grey,El,TRUE,2022,2026-05-06
XC40,328500,Recharge Pro Single motor,231,6412,Onyx Black,El,TRUE,2022,2026-05-06
XC40,304000,Plus,231,5079,Onyx Black,El,TRUE,2022,2026-05-06
XC40,319900,Plus,231,4917,Black Stone,El,TRUE,2022,2026-05-06
XC40,349000,Twin Pro,407,8486,Sage Green,El,TRUE,2022,2026-05-06
XC40,309900,Core,231,6052,Denim Blue,El,TRUE,2022,2026-05-06
XC40,329900,Pro,231,5161,Black Stone,El,TRUE,2022,2026-05-06
XC40,354900,Plus DRAG B-Kamera,407,8869,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,309800,Ultimate (SELEKT) DRAGKROK,231,10190,Crystal White,El,TRUE,2023,2026-05-06
C40 Recharge,349900,Ultimate (SELEKT) DRAG H&K,231,6515,Black Stone,El,TRUE,2023,2026-05-06
XC40,309900,Core DRAG SELEKT,231,5885,Onyx Black,El,TRUE,2023,2026-05-06
XC40,334900,Plus B-Kamera V-Pump,231,5884,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,374900,Ultimate 360 DRAG (SELEKT),407,5850,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,319900,Core (SELEKT),231,5849,Crystal White,El,TRUE,2023,2026-05-06
C40 Recharge,304900,Core (SELEKT),231,7444,Thunder Grey,El,TRUE,2023,2026-05-06
C40 Recharge,299900,Plus Edition (SELEKT),231,8754,Thunder Grey,El,TRUE,2023,2026-05-06
C40 Recharge,324900,Core Panorama B-Kamera,231,2268,Fjord Blue,El,TRUE,2023,2026-05-06
C40 Recharge,364000,"Ultimate, Panoramatak, 360 kamera",231,4070,Fusion Red,El,TRUE,2023,2026-05-06
XC40,329900,Core,231,4690,Fjord Blue,El,TRUE,2023,2026-05-06
XC40,314900,Core Edition,231,6055,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,289900,Core,231,8611,Sage Green,El,TRUE,2023,2026-05-06
C40 Recharge,349900,"Core Edition, Ränta 2,95%, Navigation, Panoramaglastak ej öppnb",231,3406,Silver Dawn,El,TRUE,2023,2026-05-06
XC40,384000,Ultimate/Värmepump/HarmanKardon/360kamera/Google,231,3381,Black Stone,El,TRUE,2023,2026-05-06
XC40,314900,Core B-Kamera,231,4666,Black Stone,El,TRUE,2023,2026-05-06
XC40,339900,Plus Edition,231,5690,Black Stone,El,TRUE,2023,2026-05-06
XC40,339900,"Core Edition, Ränta 2.95%, Navigation, Baklucka elmanövrerad, Dragkrok",231,4048,Black Stone,El,TRUE,2023,2026-05-06
XC40,379900,Ultimate,231,4859,Crystal White,El,TRUE,2023,2026-05-06
C40 Recharge,319000,Core / Kamera/Keyless/,231,4217,Sage Green,El,TRUE,2023,2026-05-06
C40 Recharge,329900,Plus DRAG (SELEKT),231,6023,Silver Dawn,El,TRUE,2023,2026-05-06
XC40,339900,Plus Edition/Highpreformanse stereo,231,6211,Black Stone,El,TRUE,2023,2026-05-06
XC40,329900,Core Edition | Ränta 2.95% | Drag |,231,4728,Thunder Grey,El,TRUE,2023,2026-05-06
C40 Recharge,359900,Ultimate | Ränta 2.95% |,407,10378,Silver Dawn,El,TRUE,2023,2026-05-06
C40 Recharge,394900,Ultimate PANO SELEKT,407,6685,Thunder Grey,El,TRUE,2023,2026-05-06
XC40,379900,Recharge Ultimate Twin Motor El,407,8257,Black Stone,El,TRUE,2023,2026-05-06
XC40,334900,Plus Edition/Highpreformance stereo,231,7992,Bright Dusk,El,TRUE,2023,2026-05-06
C40 Recharge,359900,Ultimate,407,7126,Silver Dawn,El,TRUE,2023,2026-05-06
XC40,394000,Ultimate / Panorama / 360 / Harman Kardon,231,1876,Black Stone,El,TRUE,2023,2026-05-06
C40 Recharge,314500,Core,231,7736,Black Stone,El,TRUE,2023,2026-05-06
XC40,314900,Core,231,5799,Black Stone,El,TRUE,2023,2026-05-06
XC40 Recharge,354500,"�Recharge Plus. Backkamera, Adaptiv farthållare, Navi.",231,4568,Onyx Black,El,TRUE,2023,2026-05-06
